label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Card,1366,176,417,565,1092790_20260426010016_1.png,2560,1600
Card,1853,806,477,688,1092790_20260426010016_1.png,2560,1600
Card,1361,806,454,680,1092790_20260426010016_1.png,2560,1600
Card,894,811,439,663,1092790_20260426010016_1.png,2560,1600
Card,410,804,439,668,1092790_20260426010016_1.png,2560,1600
Sigil,1509,1256,176,178,1092790_20260426010016_1.png,2560,1600
Sigil,2014,1263,186,176,1092790_20260426010016_1.png,2560,1600
Sigil,1469,611,118,110,1092790_20260426010016_1.png,2560,1600
Sigil,1562,558,120,105,1092790_20260426010016_1.png,2560,1600
Health,1198,1253,118,186,1092790_20260426010016_1.png,2560,1600
Health,711,1253,123,183,1092790_20260426010016_1.png,2560,1600
Health,2199,1253,131,191,1092790_20260426010016_1.png,2560,1600
Health,1692,1248,115,181,1092790_20260426010016_1.png,2560,1600
Health,1667,555,103,151,1092790_20260426010016_1.png,2560,1600
Attack,1384,550,110,186,1092790_20260426010016_1.png,2560,1600
Attack,417,1243,98,226,1092790_20260426010016_1.png,2560,1600
Attack,904,1248,100,226,1092790_20260426010016_1.png,2560,1600
Attack,1401,1243,95,226,1092790_20260426010016_1.png,2560,1600
Attack,1908,1251,100,228,1092790_20260426010016_1.png,2560,1600
Attack,902,1251,105,221,1092790_20260426010424_1.png,2560,1600
Attack,1399,1251,105,213,1092790_20260426010424_1.png,2560,1600
Attack,1841,558,95,176,1092790_20260426010424_1.png,2560,1600
Attack,932,553,95,181,1092790_20260426010424_1.png,2560,1600
Sigil,1002,1228,213,236,1092790_20260426010424_1.png,2560,1600
Sigil,1517,1261,173,158,1092790_20260426010424_1.png,2560,1600
Sigil,1943,560,156,138,1092790_20260426010424_1.png,2560,1600
Sigil,1022,523,188,201,1092790_20260426010424_1.png,2560,1600
Health,2102,535,118,186,1092790_20260426010424_1.png,2560,1600
Health,1682,1233,123,211,1092790_20260426010424_1.png,2560,1600
Health,1208,543,113,176,1092790_20260426010424_1.png,2560,1600
Health,1211,1243,108,211,1092790_20260426010424_1.png,2560,1600
Card,909,169,427,585,1092790_20260426010424_1.png,2560,1600
Card,1790,169,454,577,1092790_20260426010424_1.png,2560,1600
Card,879,794,457,700,1092790_20260426010424_1.png,2560,1600
Card,1361,801,462,680,1092790_20260426010424_1.png,2560,1600
Card,884,806,454,673,1092790_20260426010513_1.png,2560,1600
Card,1356,169,417,585,1092790_20260426010513_1.png,2560,1600
Card,1808,179,417,565,1092790_20260426010513_1.png,2560,1600
Card,448,169,457,582,1092790_20260426010513_1.png,2560,1600
Health,1201,1251,123,186,1092790_20260426010513_1.png,2560,1600
Health,2099,553,118,161,1092790_20260426010513_1.png,2560,1600
Health,1652,550,113,168,1092790_20260426010513_1.png,2560,1600
Health,754,550,131,171,1092790_20260426010513_1.png,2560,1600
Sigil,1479,560,176,133,1092790_20260426010513_1.png,2560,1600
Sigil,1941,560,158,131,1092790_20260426010513_1.png,2560,1600
Attack,909,1245,93,226,1092790_20260426010513_1.png,2560,1600
Attack,1830,545,105,191,1092790_20260426010513_1.png,2560,1600
Attack,1386,550,95,191,1092790_20260426010513_1.png,2560,1600
Attack,470,545,110,201,1092790_20260426010513_1.png,2560,1600
Sigil,578,530,186,208,1092790_20260426010513_1.png,2560,1600
Sigil,558,540,176,168,1092790_20260426011136_1.png,2560,1600
Sigil,533,1258,186,188,1092790_20260426011136_1.png,2560,1600
Sigil,1938,558,173,161,1092790_20260426011136_1.png,2560,1600
Sigil,1999,1263,176,181,1092790_20260426011136_1.png,2560,1600
Attack,1828,545,113,193,1092790_20260426011136_1.png,2560,1600
Attack,1886,1253,103,206,1092790_20260426011136_1.png,2560,1600
Attack,448,535,115,198,1092790_20260426011136_1.png,2560,1600
Attack,932,555,103,178,1092790_20260426011136_1.png,2560,1600
Attack,407,1245,113,218,1092790_20260426011136_1.png,2560,1600
Attack,1389,1248,125,218,1092790_20260426011136_1.png,2560,1600
Health,1687,1248,120,196,1092790_20260426011136_1.png,2560,1600
Health,1201,555,115,171,1092790_20260426011136_1.png,2560,1600
Health,2104,550,120,171,1092790_20260426011136_1.png,2560,1600
Health,2172,1253,128,201,1092790_20260426011136_1.png,2560,1600
Health,729,530,128,186,1092790_20260426011136_1.png,2560,1600
Health,711,1240,123,211,1092790_20260426011136_1.png,2560,1600
Card,428,141,477,625,1092790_20260426011136_1.png,2560,1600
Card,919,169,417,585,1092790_20260426011136_1.png,2560,1600
Card,1800,169,439,587,1092790_20260426011136_1.png,2560,1600
Card,1833,801,487,683,1092790_20260426011136_1.png,2560,1600
Card,1356,799,467,680,1092790_20260426011136_1.png,2560,1600
Card,402,804,447,670,1092790_20260426011136_1.png,2560,1600
Card,390,806,464,673,1092790_20260426012009_1.png,2560,1600
Card,879,806,459,673,1092790_20260426012009_1.png,2560,1600
Card,1361,169,407,580,1092790_20260426012009_1.png,2560,1600
Card,1798,174,429,570,1092790_20260426012009_1.png,2560,1600
Health,714,1253,120,191,1092790_20260426012009_1.png,2560,1600
Health,1201,1251,120,188,1092790_20260426012009_1.png,2560,1600
Health,1662,548,110,163,1092790_20260426012009_1.png,2560,1600
Health,2122,545,95,168,1092790_20260426012009_1.png,2560,1600
Sigil,1946,555,168,151,1092790_20260426012009_1.png,2560,1600
Sigil,1487,553,163,153,1092790_20260426012009_1.png,2560,1600
Sigil,990,1313,131,138,1092790_20260426012009_1.png,2560,1600
Sigil,1088,1243,131,120,1092790_20260426012009_1.png,2560,1600
Sigil,533,1263,161,176,1092790_20260426012009_1.png,2560,1600
Attack,412,1248,103,221,1092790_20260426012009_1.png,2560,1600
Attack,902,1243,108,226,1092790_20260426012009_1.png,2560,1600
Attack,1384,548,108,188,1092790_20260426012009_1.png,2560,1600
Attack,1841,545,105,188,1092790_20260426012009_1.png,2560,1600
Attack,907,1243,98,223,1092790_20260426012122_1.png,2560,1600
Attack,1391,1248,105,218,1092790_20260426012122_1.png,2560,1600
Attack,1878,1248,120,223,1092790_20260426012122_1.png,2560,1600
Attack,1838,540,108,191,1092790_20260426012122_1.png,2560,1600
Health,2119,545,100,171,1092790_20260426012122_1.png,2560,1600
Health,2172,1251,123,188,1092790_20260426012122_1.png,2560,1600
Health,1201,1251,123,188,1092790_20260426012122_1.png,2560,1600
Health,1692,1251,118,193,1092790_20260426012122_1.png,2560,1600
Sigil,1948,545,166,166,1092790_20260426012122_1.png,2560,1600
Sigil,1572,1245,136,118,1092790_20260426012122_1.png,2560,1600
Sigil,1497,1318,115,131,1092790_20260426012122_1.png,2560,1600
Card,894,806,447,678,1092790_20260426012122_1.png,2560,1600
Card,1364,806,452,678,1092790_20260426012122_1.png,2560,1600
Card,1838,814,477,668,1092790_20260426012122_1.png,2560,1600
Card,1803,166,432,585,1092790_20260426012122_1.png,2560,1600
Attack,1391,1248,110,211,1092790_20260426012330_1.png,2560,1600
Health,1687,1248,120,191,1092790_20260426012330_1.png,2560,1600
Health,2139,1256,136,188,1092790_20260426012330_1.png,2560,1600
Health,1170,560,123,156,1092790_20260426012330_1.png,2560,1600
Card,924,169,412,587,1092790_20260426012330_1.png,2560,1600
Card,1371,809,437,670,1092790_20260426012330_1.png,2560,1600
Card,1833,809,474,660,1092790_20260426012330_1.png,2560,1600
Card,904,164,432,577,1092790_20260426012410_1.png,2560,1600
Card,1785,164,459,590,1092790_20260426012410_1.png,2560,1600
Card,1828,811,497,668,1092790_20260426012410_1.png,2560,1600
Card,1356,801,462,673,1092790_20260426012410_1.png,2560,1600
Health,1168,555,120,161,1092790_20260426012410_1.png,2560,1600
Health,2104,560,128,156,1092790_20260426012410_1.png,2560,1600
Health,2144,1253,128,191,1092790_20260426012410_1.png,2560,1600
Health,1687,1253,128,181,1092790_20260426012410_1.png,2560,1600
Sigil,1946,565,158,148,1092790_20260426012410_1.png,2560,1600
Sigil,1569,1240,133,131,1092790_20260426012410_1.png,2560,1600
Sigil,1477,1313,141,136,1092790_20260426012410_1.png,2560,1600
Attack,1399,1243,98,221,1092790_20260426012410_1.png,2560,1600
Attack,1836,555,108,181,1092790_20260426012410_1.png,2560,1600
Card,387,809,462,670,1092790_20260426012534_1.png,2560,1600
Card,1366,811,442,673,1092790_20260426012534_1.png,2560,1600
Card,902,169,439,577,1092790_20260426012534_1.png,2560,1600
Card,1359,171,409,582,1092790_20260426012534_1.png,2560,1600
Card,1810,169,422,577,1092790_20260426012534_1.png,2560,1600
Attack,1389,1251,110,218,1092790_20260426012534_1.png,2560,1600
Attack,407,1243,110,226,1092790_20260426012534_1.png,2560,1600
Attack,929,548,110,193,1092790_20260426012534_1.png,2560,1600
Attack,1833,555,110,183,1092790_20260426012534_1.png,2560,1600
Attack,1386,553,100,186,1092790_20260426012534_1.png,2560,1600
Sigil,1527,1253,146,183,1092790_20260426012534_1.png,2560,1600
Sigil,598,1243,141,131,1092790_20260426012534_1.png,2560,1600
Sigil,505,1323,138,131,1092790_20260426012534_1.png,2560,1600
Sigil,1946,558,156,148,1092790_20260426012534_1.png,2560,1600
Sigil,1497,548,156,168,1092790_20260426012534_1.png,2560,1600
Health,1690,1243,110,196,1092790_20260426012534_1.png,2560,1600
Health,1652,553,113,166,1092790_20260426012534_1.png,2560,1600
Health,2097,555,125,171,1092790_20260426012534_1.png,2560,1600
Health,1173,553,125,173,1092790_20260426012534_1.png,2560,1600
Health,724,1253,115,193,1092790_20260426012534_1.png,2560,1600
Health,1201,1248,115,191,1092790_20260426012616_1.png,2560,1600
Health,2177,1251,128,193,1092790_20260426012616_1.png,2560,1600
Health,2102,553,115,171,1092790_20260426012616_1.png,2560,1600
